Country_Name,Country_Total_Cases,Country_Total_Deaths,Country_Total_Recovered
USA,"103,614,411","1,125,895","100,492,965"
India,"44,681,884","530,728","44,148,645"
France,"39,461,387","163,562","39,082,375"
Germany,"37,637,807","164,153","37,139,200"
Brazil,"36,682,799","695,591","35,626,058"
Japan,"31,722,918","63,769","21,390,231"
S. Korea,"29,898,142","33,057","29,026,259"
Italy,"25,363,742","185,993","24,824,106"
UK,"24,243,393","202,157","23,943,046"
Russia,"21,870,422","394,529","21,288,067"
